FrameCount, Within Perception?, Within Eating Distance?, Action
119,0,0,follow
120,0,0,follow
121,0,0,follow
122,0,0,follow
123,0,0,follow
124,0,0,follow
125,0,0,follow
126,0,0,follow
127,0,0,follow
128,0,0,follow
129,0,0,follow
130,0,0,follow
131,0,0,follow
132,0,0,follow
133,0,0,follow
134,0,0,follow
135,0,0,follow
136,0,0,follow
137,0,0,follow
138,0,0,follow
139,0,0,follow
140,0,0,follow
141,0,0,follow
142,0,0,follow
143,0,0,follow
144,0,0,follow
145,0,0,follow
146,0,0,follow
147,0,0,follow
148,0,0,follow
149,0,0,follow
150,0,0,follow
151,0,0,follow
152,0,0,follow
153,0,0,follow
154,0,0,follow
155,0,0,follow
156,0,0,follow
157,0,0,follow
158,0,0,follow
159,0,0,follow
160,0,0,follow
161,0,0,follow
162,0,0,follow
163,0,0,follow
164,0,0,follow
165,0,0,follow
166,0,0,follow
167,0,0,follow
168,0,0,follow
169,0,0,follow
170,0,0,follow
171,0,0,follow
172,0,0,follow
173,0,0,follow
174,0,0,follow
175,0,0,follow
176,0,0,follow
177,0,0,follow
178,0,0,follow
179,0,0,follow
180,0,0,follow
181,0,0,follow
182,0,0,follow
183,0,0,follow
184,0,0,follow
185,0,0,follow
186,0,0,follow
187,0,0,follow
188,0,0,follow
189,0,0,follow
190,0,0,follow
191,0,0,follow
192,0,0,follow
193,0,0,follow
194,0,0,follow
195,0,0,follow
196,0,0,follow
197,0,0,chase
198,1,0,chase
199,1,0,chase
200,1,0,chase
201,1,0,chase
202,1,0,chase
203,1,0,chase
204,1,0,chase
205,1,0,chase
206,1,0,chase
207,1,0,chase
208,1,0,chase
209,1,0,chase
210,1,0,chase
211,1,0,chase
212,1,0,chase
213,1,0,chase
214,1,0,chase
215,1,0,chase
216,1,0,chase
217,1,0,chase
218,1,0,chase
219,1,0,chase
220,1,0,chase
221,1,0,chase
222,1,0,chase
223,1,0,chase
224,1,0,chase
225,1,0,chase
226,1,0,chase
227,1,0,chase
228,1,0,chase
229,1,0,chase
230,1,0,chase
231,1,0,chase
232,1,0,chase
233,1,0,chase
234,1,0,chase
235,1,0,chase
236,1,0,chase
237,1,0,chase
238,1,0,chase
239,1,0,chase
240,1,0,chase
241,1,0,chase
242,1,0,chase
243,1,0,chase
244,1,0,chase
245,1,0,chase
246,1,0,chase
247,1,0,chase
248,1,0,chase
249,1,0,chase
250,1,0,chase
251,1,0,chase
252,1,0,chase
253,1,0,chase
254,1,0,chase
255,1,0,chase
256,1,1,chase
257,1,1,eat
258,0,0,follow
259,0,0,follow
260,0,0,follow
261,0,0,follow
262,0,0,follow
263,0,0,follow
264,0,0,follow
265,0,0,follow
266,0,0,follow
267,0,0,follow
268,0,0,follow
269,0,0,follow
270,0,0,follow
271,0,0,follow
272,0,0,follow
273,0,0,follow
274,0,0,follow
275,0,0,follow
276,0,0,follow
277,0,0,follow
278,0,0,follow
279,0,0,follow
280,0,0,follow
281,0,0,follow
282,0,0,follow
283,0,0,follow
284,0,0,follow
285,0,0,follow
286,0,0,follow
287,0,0,follow
288,0,0,follow
289,0,0,follow
290,0,0,follow
291,0,0,follow
292,0,0,follow
293,0,0,follow
294,0,0,follow
295,0,0,follow
296,0,0,follow
297,0,0,follow
298,0,0,follow
299,0,0,follow
300,0,0,follow
301,0,0,follow
302,0,0,follow
303,0,0,follow
304,0,0,follow
305,0,0,follow
306,0,0,follow
307,0,0,follow
308,0,0,follow
309,0,0,follow
310,0,0,follow
311,0,0,follow
312,0,0,follow
313,0,0,follow
314,0,0,follow
315,0,0,follow
316,0,0,follow
317,0,0,follow
318,0,0,follow
319,0,0,follow
320,0,0,follow
321,0,0,follow
322,0,0,follow
323,0,0,follow
324,0,0,follow
325,0,0,follow
326,0,0,follow
327,0,0,follow
328,0,0,follow
329,0,0,follow
330,0,0,follow
331,0,0,follow
332,0,0,follow
333,0,0,follow
334,0,0,follow
335,0,0,follow
336,0,0,follow
337,0,0,follow
338,0,0,follow
339,0,0,follow
340,0,0,follow
341,0,0,follow
342,0,0,follow
343,0,0,follow
344,0,0,follow
345,0,0,follow
346,0,0,follow
347,0,0,follow
348,0,0,follow
349,0,0,follow
350,0,0,follow
351,0,0,follow
352,0,0,follow
353,0,0,follow
354,0,0,follow
355,0,0,follow
356,0,0,follow
357,0,0,follow
358,0,0,follow
359,0,0,follow
360,0,0,follow
361,0,0,follow
362,0,0,follow
363,0,0,follow
364,0,0,follow
365,0,0,follow
366,0,0,follow
367,0,0,follow
368,0,0,follow
369,0,0,follow
370,0,0,follow
371,0,0,follow
372,0,0,follow
373,0,0,follow
374,0,0,follow
375,0,0,follow
376,0,0,follow
377,0,0,follow
378,0,0,follow
379,0,0,follow
380,0,0,follow
381,0,0,follow
382,0,0,follow
383,0,0,follow
384,0,0,follow
385,0,0,follow
386,0,0,follow
387,0,0,follow
388,0,0,follow
389,0,0,follow
390,0,0,follow
391,0,0,follow
392,0,0,follow
393,0,0,follow
394,0,0,follow
395,0,0,follow
396,0,0,follow
397,0,0,follow
398,0,0,follow
399,0,0,follow
400,0,0,follow
401,0,0,follow
402,0,0,follow
403,0,0,follow
404,0,0,follow
405,0,0,follow
406,0,0,follow
407,0,0,follow
408,0,0,follow
409,0,0,follow
410,0,0,follow
411,0,0,follow
412,0,0,follow
413,0,0,follow
414,0,0,follow
415,0,0,follow
416,0,0,follow
417,0,0,follow
418,0,0,follow
419,0,0,follow
420,0,0,follow
421,0,0,follow
422,0,0,follow
423,0,0,follow
424,0,0,follow
425,0,0,follow
426,0,0,follow
427,0,0,follow
428,0,0,follow
429,0,0,follow
430,0,0,follow
431,0,0,follow
432,0,0,follow
433,0,0,follow
434,0,0,follow
435,0,0,follow
436,0,0,follow
437,0,0,follow
438,0,0,follow
439,0,0,follow
440,0,0,follow
441,0,0,follow
442,0,0,follow
443,0,0,follow
444,0,0,follow
445,0,0,follow
446,0,0,follow
447,0,0,follow
448,0,0,follow
449,0,0,follow
450,0,0,follow
451,0,0,chase
452,1,0,chase
453,1,0,chase
454,1,0,chase
455,1,0,chase
456,1,0,chase
457,1,0,chase
458,1,0,chase
459,1,0,chase
460,1,0,chase
461,1,0,chase
462,1,0,chase
463,1,0,chase
464,1,0,chase
465,1,0,chase
466,1,0,chase
467,1,0,chase
468,1,0,chase
469,1,0,chase
470,1,0,chase
471,1,0,chase
472,1,0,chase
473,1,1,eat
474,0,0,follow
475,0,0,follow
476,0,0,follow
477,0,0,follow
478,0,0,follow
479,0,0,follow
480,0,0,follow
481,0,0,follow
482,0,0,follow
483,0,0,follow
484,0,0,follow
485,0,0,follow
486,0,0,follow
487,0,0,follow
488,0,0,follow
489,0,0,follow
490,0,0,follow
491,0,0,follow
492,0,0,follow
493,0,0,follow
494,0,0,follow
495,0,0,follow
496,0,0,follow
497,0,0,follow
498,0,0,follow
499,0,0,follow
500,0,0,follow
501,0,0,follow
502,0,0,follow
503,0,0,follow
504,0,0,follow
505,0,0,follow
506,0,0,follow
507,0,0,follow
508,0,0,follow
509,0,0,follow
510,0,0,follow
511,0,0,follow
512,0,0,follow
513,0,0,follow
514,0,0,follow
515,0,0,follow
516,0,0,follow
517,0,0,follow
518,0,0,follow
519,0,0,follow
520,0,0,follow
521,0,0,follow
522,0,0,follow
523,0,0,follow
524,0,0,follow
525,0,0,follow
526,0,0,follow
527,0,0,follow
528,0,0,follow
529,0,0,follow
530,0,0,follow
531,0,0,follow
532,0,0,follow
533,0,0,follow
534,0,0,follow
535,0,0,follow
536,0,0,follow
537,0,0,follow
538,0,0,follow
539,0,0,follow
540,0,0,follow
541,0,0,follow
542,0,0,follow
543,0,0,follow
544,0,0,follow
545,0,0,follow
546,0,0,follow
547,0,0,follow
548,0,0,follow
549,0,0,follow
550,0,0,follow
551,0,0,follow
552,0,0,follow
553,0,0,follow
554,0,0,follow
555,0,0,follow
556,0,0,follow
557,0,0,follow
558,0,0,follow
559,0,0,follow
560,0,0,follow
561,0,0,follow
562,0,0,follow
563,0,0,follow
564,0,0,follow
565,0,0,follow
566,0,0,follow
567,0,0,follow
568,0,0,follow
569,0,0,follow
570,0,0,follow
571,0,0,follow
572,0,0,follow
573,0,0,follow
574,0,0,follow
575,0,0,follow
576,0,0,follow
577,0,0,follow
578,0,0,follow
579,0,0,follow
580,0,0,follow
581,0,0,follow
582,0,0,follow
583,0,0,follow
584,0,0,follow
585,0,0,follow
586,0,0,follow
587,0,0,follow
588,0,0,follow
589,0,0,follow
590,0,0,follow
591,0,0,follow
592,0,0,follow
593,0,0,follow
594,0,0,follow
595,0,0,follow
596,0,0,follow
597,0,0,follow
598,0,0,follow
599,0,0,follow
600,0,0,follow
601,0,0,follow
602,0,0,follow
603,0,0,follow
604,0,0,follow
605,0,0,follow
606,0,0,follow
607,0,0,follow
608,0,0,follow
609,0,0,follow
610,0,0,follow
611,0,0,follow
612,0,0,follow
613,0,0,follow
614,0,0,follow
615,0,0,follow
616,0,0,follow
617,0,0,follow
618,0,0,follow
619,0,0,follow
620,0,0,follow
621,0,0,follow
622,0,0,follow
623,0,0,follow
624,0,0,follow
625,0,0,follow
626,0,0,follow
627,0,0,follow
628,0,0,follow
629,0,0,follow
630,0,0,follow
631,0,0,follow
632,0,0,follow
633,0,0,follow
634,0,0,follow
635,0,0,follow
636,0,0,follow
637,0,0,follow
638,0,0,follow
639,0,0,follow
640,0,0,follow
641,0,0,follow
642,0,0,follow
643,0,0,follow
644,0,0,follow
645,0,0,follow
646,0,0,follow
647,0,0,follow
648,0,0,follow
649,0,0,follow
650,0,0,follow
651,0,0,follow
652,0,0,follow
653,0,0,follow
654,0,0,follow
655,0,0,follow
656,0,0,follow
657,0,0,follow
658,0,0,follow
659,0,0,follow
660,0,0,follow
661,0,0,follow
662,0,0,follow
663,0,0,follow
664,0,0,follow
665,0,0,follow
666,0,0,follow
667,0,0,follow
668,0,0,follow
669,0,0,follow
670,0,0,follow
671,0,0,follow
672,0,0,follow
673,0,0,follow
674,0,0,follow
675,0,0,follow
676,0,0,follow
677,0,0,follow
678,0,0,follow
679,0,0,follow
680,0,0,follow
681,0,0,chase
682,0,0,chase
683,1,0,chase
684,1,0,chase
685,1,0,chase
686,1,0,chase
687,1,0,chase
688,1,0,chase
689,1,0,chase
690,1,0,chase
691,1,0,chase
692,1,0,chase
693,1,0,chase
694,1,0,chase
695,1,0,chase
696,1,0,chase
697,1,0,chase
698,1,0,chase
699,1,0,chase
700,1,0,chase
701,1,0,chase
702,1,0,chase
703,1,0,chase
704,1,0,chase
705,1,0,chase
706,1,0,chase
707,1,0,chase
708,1,0,chase
709,1,0,chase
710,1,0,chase
711,1,0,chase
712,1,0,chase
713,1,0,chase
714,1,0,chase
715,1,0,chase
716,1,0,chase
717,1,0,chase
718,1,0,chase
719,1,0,chase
720,1,0,chase
721,1,0,chase
722,1,0,chase
723,1,0,chase
724,1,0,chase
725,1,0,chase
726,1,0,chase
727,1,0,chase
728,1,0,chase
729,1,0,chase
730,1,0,chase
731,1,0,chase
732,1,0,chase
733,1,0,chase
734,1,0,chase
735,1,0,chase
736,1,0,chase
737,1,0,chase
738,1,0,chase
739,1,0,chase
740,1,0,chase
741,1,0,chase
742,1,0,chase
743,1,0,chase
744,1,0,chase
745,1,0,chase
746,1,0,chase
747,1,0,chase
748,1,0,chase
749,1,0,chase
750,1,0,chase
751,1,0,chase
752,1,0,chase
753,1,0,chase
754,1,0,chase
755,1,0,chase
756,1,0,chase
757,1,0,chase
758,1,0,chase
759,1,0,chase
760,1,0,chase
761,1,0,chase
762,1,0,chase
763,1,0,chase
764,1,0,chase
765,1,0,chase
766,1,0,chase
767,1,0,chase
768,1,0,chase
769,1,0,chase
770,1,0,chase
771,1,0,chase
772,1,0,chase
773,1,0,chase
774,1,0,chase
775,1,0,chase
776,1,0,chase
777,1,0,chase
778,1,0,chase
779,1,0,chase
780,1,0,chase
781,1,0,chase
782,1,0,chase
783,1,0,chase
784,1,0,chase
785,1,0,chase
786,1,0,chase
787,1,0,chase
788,1,0,chase
789,1,0,chase
790,1,0,chase
791,1,0,chase
792,1,0,chase
793,1,0,chase
794,1,0,chase
795,1,0,chase
796,1,0,chase
797,1,0,chase
798,1,0,chase
799,1,0,chase
800,1,0,chase
801,1,0,chase
802,1,0,chase
803,1,0,chase
804,1,0,chase
805,1,0,chase
806,1,0,chase
807,1,0,chase
808,1,0,chase
809,1,0,chase
810,1,0,chase
811,1,0,chase
812,1,0,chase
813,1,0,chase
814,1,0,chase
815,1,0,chase
816,1,0,chase
817,1,0,chase
818,1,0,chase
819,1,0,chase
820,1,0,chase
821,1,0,chase
822,1,0,chase
823,1,0,chase
824,1,0,chase
825,1,0,chase
826,1,0,chase
827,1,0,chase
828,1,0,chase
829,1,0,chase
830,1,0,chase
831,1,0,chase
832,1,0,chase
833,1,0,chase
834,1,0,chase
835,1,0,chase
836,1,0,chase
837,1,0,chase
838,1,0,chase
839,1,0,chase
840,1,0,chase
841,1,0,chase
842,1,0,chase
843,1,0,chase
844,1,0,chase
845,1,0,chase
846,1,0,chase
847,1,0,chase
848,1,0,chase
849,1,0,chase
850,1,0,chase
851,1,0,chase
852,1,0,chase
853,1,0,chase
854,1,0,chase
855,1,0,chase
856,1,0,chase
857,1,0,chase
858,1,0,chase
859,1,0,chase
860,1,0,chase
861,1,0,chase
862,1,0,chase
863,1,0,chase
864,1,0,chase
865,1,0,chase
866,1,0,chase
867,1,0,chase
868,1,0,chase
869,1,0,chase
870,1,0,chase
871,1,0,chase
872,1,0,chase
873,1,0,chase
874,1,0,chase
875,1,0,chase
876,1,0,chase
877,1,0,chase
878,1,0,chase
879,1,0,chase
880,1,0,chase
881,1,0,chase
882,1,0,chase
883,1,0,chase
884,1,0,chase
885,1,0,chase
886,1,0,chase
887,1,0,chase
888,1,0,chase
889,1,0,chase
890,1,0,chase
891,1,0,chase
892,1,0,chase
893,1,0,chase
894,1,0,chase
895,1,0,chase
896,1,0,chase
897,1,0,chase
898,1,0,chase
899,1,0,chase
900,1,0,chase
901,1,0,chase
902,1,0,chase
903,1,0,chase
904,1,0,chase
905,1,0,chase
906,1,0,chase
907,1,0,chase
908,1,0,chase
909,1,0,chase
910,1,0,chase
911,1,0,chase
912,1,0,chase
913,1,0,chase
914,1,0,chase
915,1,0,chase
916,1,0,chase
917,1,0,chase
918,1,0,chase
919,1,0,chase
920,1,0,chase
921,1,0,chase
922,1,0,chase
923,1,0,chase
924,1,0,chase
925,1,0,chase
926,1,0,chase
927,1,0,chase
928,1,0,chase
929,1,0,chase
930,1,0,chase
931,1,0,chase
932,1,0,chase
933,1,0,chase
934,1,0,chase
935,1,0,chase
936,1,0,chase
937,1,0,chase
938,1,0,chase
939,1,0,chase
940,1,0,chase
941,1,0,chase
942,1,0,chase
943,1,0,chase
944,1,0,chase
945,1,0,chase
946,1,0,chase
947,1,0,chase
948,1,0,chase
949,1,0,chase
950,1,0,chase
951,1,0,chase
952,1,0,chase
953,1,0,chase
954,1,0,chase
955,1,0,chase
956,1,0,chase
957,1,0,chase
958,1,0,chase
959,1,0,chase
960,1,0,chase
961,1,0,chase
962,1,0,chase
963,1,0,chase
964,1,0,chase
965,1,0,chase
966,1,0,chase
967,1,0,chase
968,1,0,chase
969,1,0,chase
970,1,0,chase
971,1,0,chase
972,1,0,chase
973,1,0,chase
974,1,0,chase
975,1,0,chase
976,1,0,chase
977,1,0,chase
978,1,0,chase
979,1,0,chase
980,1,1,chase
981,1,1,chase
982,1,1,eat
983,0,0,follow
984,0,0,follow
985,0,0,follow
986,0,0,follow
987,0,0,follow
988,0,0,follow
989,0,0,follow
990,0,0,follow
991,0,0,follow
992,0,0,follow
993,0,0,follow
994,0,0,follow
995,0,0,follow
996,0,0,follow
997,0,0,follow
998,0,0,follow
999,0,0,follow
1000,0,0,follow
1001,0,0,follow
1002,0,0,follow
1003,0,0,follow
1004,0,0,follow
1005,0,0,follow
1006,0,0,follow
1007,0,0,follow
1008,0,0,follow
1009,0,0,follow
1010,0,0,follow
1011,0,0,follow
1012,0,0,follow
1013,0,0,follow
1014,0,0,follow
1015,0,0,follow
1016,0,0,follow
1017,0,0,follow
1018,0,0,follow
1019,0,0,follow
1020,0,0,follow
1021,0,0,follow
1022,0,0,follow
1023,0,0,follow
1024,0,0,follow
1025,0,0,follow
1026,0,0,follow
1027,0,0,follow
1028,0,0,follow
1029,0,0,follow
1030,0,0,follow
1031,0,0,follow
1032,0,0,follow
1033,0,0,follow
1034,0,0,follow
1035,0,0,follow
1036,0,0,follow
1037,0,0,follow
1038,0,0,follow
1039,0,0,follow
1040,0,0,follow
1041,0,0,follow
1042,0,0,follow
1043,0,0,follow
1044,0,0,follow
1045,0,0,follow
1046,0,0,follow
1047,0,0,follow
1048,0,0,follow
1049,0,0,follow
1050,0,0,follow
1051,0,0,follow
1052,0,0,follow
1053,0,0,follow
1054,0,0,follow
1055,0,0,follow
1056,0,0,follow
1057,0,0,follow
1058,0,0,follow
1059,0,0,follow
1060,0,0,follow
1061,0,0,follow
1062,0,0,follow
1063,0,0,follow
1064,0,0,follow
1065,0,0,follow
1066,0,0,follow
1067,0,0,follow
1068,0,0,follow
1069,0,0,follow
1070,0,0,follow
1071,0,0,follow
1072,0,0,follow
1073,0,0,follow
1074,0,0,follow
1075,0,0,follow
1076,0,0,follow
1077,0,0,follow
1078,0,0,follow
1079,0,0,follow
1080,0,0,follow
1081,0,0,follow
1082,0,0,follow
1083,0,0,follow
1084,0,0,follow
1085,0,0,follow
1086,0,0,follow
1087,0,0,follow
1088,0,0,follow
1089,0,0,follow
1090,0,0,follow
1091,0,0,follow
1092,0,0,follow
1093,0,0,follow
1094,0,0,follow
1095,0,0,follow
1096,0,0,follow
1097,0,0,follow
1098,0,0,follow
1099,0,0,follow
1100,0,0,follow
1101,0,0,follow
1102,0,0,chase
1103,1,0,chase
1104,1,0,chase
1105,1,0,chase
1106,1,0,chase
1107,1,0,chase
1108,1,0,chase
1109,1,0,chase
1110,1,0,chase
1111,1,0,chase
1112,1,0,chase
1113,1,0,chase
1114,1,0,chase
1115,1,0,chase
1116,1,0,chase
1117,1,0,chase
1118,1,0,chase
1119,1,0,chase
1120,1,0,chase
1121,1,0,chase
1122,1,0,chase
1123,1,0,chase
1124,1,0,chase
1125,1,0,chase
1126,1,0,chase
1127,1,0,chase
1128,1,0,chase
1129,1,0,chase
1130,1,0,chase
1131,1,0,chase
1132,1,0,chase
1133,1,0,chase
1134,1,0,chase
1135,1,0,chase
1136,1,0,chase
1137,1,0,chase
1138,1,0,chase
1139,1,0,chase
1140,1,0,chase
1141,1,0,chase
1142,1,0,chase
1143,1,0,chase
1144,1,0,chase
1145,1,0,chase
1146,1,0,chase
1147,1,0,chase
1148,1,0,chase
1149,1,0,chase
1150,1,0,chase
1151,1,0,chase
1152,1,0,chase
1153,1,0,chase
1154,1,0,chase
1155,1,0,chase
1156,1,0,chase
1157,1,0,chase
1158,1,0,chase
1159,1,0,chase
1160,1,0,chase
1161,1,0,chase
1162,1,0,chase
1163,1,0,chase
1164,1,0,chase
1165,1,0,chase
1166,1,0,chase
1167,1,0,chase
1168,1,0,chase
1169,1,0,chase
1170,1,0,chase
1171,1,0,chase
1172,1,0,chase
1173,1,0,chase
1174,1,0,chase
1175,1,0,chase
1176,1,0,chase
1177,1,0,chase
1178,1,0,chase
1179,1,0,chase
1180,1,0,chase
1181,1,0,chase
1182,1,0,chase
1183,1,0,chase
1184,1,0,chase
1185,1,0,chase
1186,1,0,chase
1187,1,0,chase
1188,1,0,chase
1189,1,0,chase
1190,1,0,chase
1191,1,0,chase
1192,1,0,chase
1193,1,0,chase
1194,1,0,chase
1195,1,0,chase
1196,1,0,chase
1197,1,0,chase
1198,1,0,chase
1199,1,0,chase
1200,1,0,chase
1201,1,0,chase
1202,1,0,chase
1203,1,0,chase
1204,1,0,chase
1205,1,0,chase
1206,1,0,chase
1207,1,0,chase
1208,1,0,chase
1209,1,0,chase
1210,1,0,chase
1211,1,0,chase
1212,1,0,chase
1213,1,0,chase
1214,1,0,chase
1215,1,0,chase
1216,1,0,chase
1217,1,0,chase
1218,1,0,chase
1219,1,0,chase
1220,1,0,chase
1221,1,0,chase
1222,1,0,chase
1223,1,0,chase
1224,1,0,chase
1225,1,0,chase
1226,1,0,chase
1227,1,0,chase
1228,1,0,chase
1229,1,0,chase
1230,1,0,chase
1231,1,0,chase
1232,1,0,chase
1233,1,0,chase
1234,1,0,chase
1235,1,0,chase
1236,1,0,chase
1237,1,0,chase
1238,1,0,chase
1239,1,0,chase
1240,1,0,chase
1241,1,0,chase
1242,1,0,chase
1243,1,0,chase
1244,1,0,chase
1245,1,0,chase
1246,1,0,chase
1247,1,0,chase
1248,1,0,chase
1249,1,0,chase
1250,1,0,chase
1251,1,0,chase
1252,1,0,chase
1253,1,0,chase
1254,1,0,chase
1255,1,0,chase
1256,1,0,chase
1257,1,0,chase
1258,1,0,chase
1259,1,0,chase
1260,1,0,chase
1261,1,0,chase
1262,1,0,chase
1263,1,0,chase
1264,1,0,chase
1265,1,0,chase
1266,1,0,chase
1267,1,0,chase
1268,1,0,chase
1269,1,0,chase
1270,1,0,chase
1271,1,0,chase
1272,1,0,chase
1273,1,0,chase
1274,1,0,chase
1275,1,0,chase
1276,1,0,chase
1277,1,0,chase
1278,1,0,chase
1279,1,1,chase
1280,1,1,eat
1281,0,0,follow
1282,0,0,follow
1283,0,0,follow
1284,0,0,follow
1285,0,0,follow
1286,0,0,follow
1287,0,0,follow
1288,0,0,follow
1289,0,0,follow
1290,0,0,follow
1291,0,0,follow
1292,0,0,follow
1293,0,0,follow
1294,0,0,follow
1295,0,0,follow
1296,0,0,follow
1297,0,0,follow
1298,0,0,follow
1299,0,0,follow
1300,0,0,follow
1301,0,0,follow
1302,0,0,follow
1303,0,0,follow
1304,0,0,follow
1305,0,0,follow
1306,0,0,follow
1307,0,0,follow
1308,0,0,follow
1309,0,0,follow
1310,0,0,follow
1311,0,0,follow
1312,0,0,follow
1313,0,0,follow
1314,0,0,follow
1315,0,0,follow
1316,0,0,follow
1317,0,0,follow
1318,0,0,follow
1319,0,0,follow
1320,0,0,follow
1321,0,0,follow
1322,0,0,follow
1323,0,0,follow
1324,0,0,follow
1325,0,0,follow
1326,0,0,follow
1327,0,0,follow
1328,0,0,follow
1329,0,0,follow
1330,0,0,follow
1331,0,0,follow
1332,0,0,follow
1333,0,0,follow
1334,0,0,follow
1335,0,0,follow
1336,0,0,follow
1337,0,0,follow
1338,0,0,follow
1339,0,0,follow
1340,0,0,follow
1341,0,0,follow
1342,0,0,follow
1343,0,0,follow
1344,0,0,follow
1345,0,0,follow
1346,0,0,follow
1347,0,0,follow
1348,0,0,follow
1349,0,0,follow
1350,0,0,follow
1351,0,0,follow
1352,0,0,follow
1353,0,0,follow
1354,0,0,follow
1355,0,0,follow
1356,0,0,follow
1357,0,0,follow
1358,0,0,follow
1359,0,0,follow
1360,0,0,follow
1361,0,0,follow
1362,0,0,follow
1363,0,0,follow
1364,0,0,follow
1365,0,0,follow
1366,0,0,follow
1367,0,0,follow
1368,0,0,follow
1369,0,0,follow
1370,0,0,follow
1371,0,0,follow
1372,0,0,follow
1373,0,0,follow
1374,0,0,follow
1375,0,0,follow
1376,0,0,follow
1377,0,0,follow
1378,0,0,follow
1379,0,0,follow
1380,0,0,follow
1381,0,0,follow
1382,0,0,follow
1383,0,0,follow
1384,0,0,follow
1385,0,0,follow
1386,0,0,follow
1387,0,0,follow
1388,0,0,follow
1389,0,0,follow
1390,0,0,follow
1391,0,0,follow
1392,0,0,follow
1393,0,0,follow
1394,0,0,follow
1395,0,0,follow
1396,0,0,follow
1397,0,0,follow
1398,0,0,follow
1399,0,0,follow
1400,0,0,follow
1401,0,0,follow
1402,0,0,follow
1403,0,0,follow
1404,0,0,follow
1405,0,0,follow
1406,0,0,follow
1407,0,0,follow
1408,0,0,follow
1409,0,0,follow
1410,0,0,follow
1411,0,0,follow
1412,0,0,follow
1413,0,0,follow
1414,0,0,follow
1415,0,0,follow
1416,0,0,follow
1417,0,0,follow
1418,0,0,follow
1419,0,0,follow
1420,0,0,follow
1421,0,0,follow
1422,0,0,follow
1423,0,0,follow
1424,0,0,follow
1425,0,0,follow
1426,0,0,follow
1427,0,0,follow
1428,0,0,follow
1429,0,0,follow
1430,0,0,follow
1431,0,0,follow
1432,0,0,follow
1433,0,0,follow
1434,0,0,follow
1435,0,0,follow
1436,0,0,follow
1437,0,0,follow
1438,0,0,follow
1439,0,0,follow
1440,0,0,follow
1441,0,0,follow
1442,0,0,follow
1443,0,0,follow
1444,0,0,follow
1445,0,0,follow
1446,0,0,follow
1447,0,0,follow
1448,0,0,follow
1449,0,0,follow
1450,0,0,follow
1451,0,0,follow
1452,0,0,follow
1453,0,0,follow
1454,0,0,follow
1455,0,0,follow
1456,0,0,follow
1457,0,0,follow
1458,0,0,follow
1459,0,0,follow
1460,0,0,follow
1461,0,0,follow
1462,0,0,follow
1463,0,0,follow
1464,0,0,follow
1465,0,0,follow
1466,0,0,follow
1467,0,0,follow
1468,0,0,follow
1469,0,0,follow
1470,0,0,follow
1471,0,0,follow
1472,0,0,follow
1473,0,0,follow
1474,0,0,follow
1475,0,0,follow
1476,0,0,follow
1477,0,0,follow
1478,0,0,follow
1479,0,0,follow
1480,0,0,follow
1481,0,0,follow
1482,0,0,follow
1483,0,0,follow
1484,0,0,follow
1485,0,0,follow
1486,0,0,follow
1487,0,0,follow
1488,0,0,follow
1489,0,0,follow
1490,0,0,follow
1491,0,0,follow
1492,0,0,follow
1493,0,0,follow
1494,0,0,follow
